Date;Filière;Valeur (GW)
29/04/2021;Disponibilité du parc nucléaire;39,7025
30/04/2021;Disponibilité du parc nucléaire;39,18333
01/05/2021;Disponibilité du parc nucléaire;39,925
02/05/2021;Disponibilité du parc nucléaire;37,23989
03/05/2021;Disponibilité du parc nucléaire;37,56617
04/05/2021;Disponibilité du parc nucléaire;39,09458
05/05/2021;Disponibilité du parc nucléaire;38,94165
06/05/2021;Disponibilité du parc nucléaire;38,47475
07/05/2021;Disponibilité du parc nucléaire;38,9529
08/05/2021;Disponibilité du parc nucléaire;35,86486
09/05/2021;Disponibilité du parc nucléaire;35,39616
10/05/2021;Disponibilité du parc nucléaire;37,71533
11/05/2021;Disponibilité du parc nucléaire;38,39677
12/05/2021;Disponibilité du parc nucléaire;38,92167
13/05/2021;Disponibilité du parc nucléaire;39,30639
14/05/2021;Disponibilité du parc nucléaire;40,265
15/05/2021;Disponibilité du parc nucléaire;40,09261
16/05/2021;Disponibilité du parc nucléaire;39,9904
17/05/2021;Disponibilité du parc nucléaire;39,98219
18/05/2021;Disponibilité du parc nucléaire;40,92958
19/05/2021;Disponibilité du parc nucléaire;42,225
20/05/2021;Disponibilité du parc nucléaire;41,22839
21/05/2021;Disponibilité du parc nucléaire;40,78422
22/05/2021;Disponibilité du parc nucléaire;38,4875
23/05/2021;Disponibilité du parc nucléaire;38,54428
24/05/2021;Disponibilité du parc nucléaire;39,38995
25/05/2021;Disponibilité du parc nucléaire;39,56903
26/05/2021;Disponibilité du parc nucléaire;40,49458
27/05/2021;Disponibilité du parc nucléaire;41,06521
28/05/2021;Disponibilité du parc nucléaire;40,58897
29/05/2021;Disponibilité du parc nucléaire;40,22521
